name,Symptoms,General Description,Treatment
Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","A type of anxiety disorder characterized by sudden and repeated episodes of intense fear or discomfort, often accompanied by physical symptoms such as heart palpitations, sweating, or dizziness.",Cognitive-behavioral therapy (CBT). Medications such as SSRIs or benzodiazepines. Relaxation techniques and lifestyle modifications.
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue","Noncancerous growths on the vocal cords caused by vocal strain, irritation, or prolonged use of the voice. They can lead to hoarseness or changes in voice quality.",Voice therapy to reduce strain. Surgical removal for severe cases.
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","A chromosomal disorder in females causing short stature, infertility, and developmental abnormalities.",Growth hormone therapy to improve height. Estrogen replacement therapy to initiate puberty. Monitoring and treating associated medical conditions.
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)",A condition in which one or both testicles fail to descend into the scrotum.,Orchiopexy surgery to correct the condition. Hormonal therapy may be used in specific cases.
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Toxicity caused by ingesting antifreeze, leading to symptoms like nausea, vomiting, and kidney failure.",Administration of fomepizole or ethanol as antidotes. Supportive care and hemodialysis for severe cases.
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures",A presentation of antifreeze poisoning with central nervous system depression and acidosis.,Administration of fomepizole or ethanol as antidotes. Supportive care and hemodialysis.
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Delayed effects of antifreeze poisoning, including kidney failure.",Administration of fomepizole or ethanol as antidotes. Hemodialysis and supportive care.
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse",Thinning and inflammation of vaginal walls due to low estrogen levels.,Topical estrogen therapy. Use of moisturizers and lubricants.
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function",A break in the continuity of a bone caused by trauma or other factors.,Immobilization with casts or splints. Surgical intervention if needed. Physical therapy for recovery.
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","A bacterial skin infection characterized by redness, swelling, and warmth, often caused by Streptococcus or Staphylococcus bacteria",Antibiotics such as cephalexin or clindamycin. Elevation of the affected area to reduce swelling. Pain management with over-the-counter medications.
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting","A condition where the eyes are not properly aligned, also known as strabismus, which can affect vision and depth perception.",Vision therapy exercises. Use of corrective glasses or prisms. Surgical correction in severe cases.
Headache after lumbar puncture,throbbing headache,"A common complication of a lumbar puncture caused by leakage of cerebrospinal fluid, leading to low-pressure headaches.",Bed rest and hydration. Caffeine intake to alleviate symptoms. Epidural blood patch for persistent headaches.
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","A condition in infants where the muscle at the pylorus thickens, obstructing food from entering the small intestine.",Surgical intervention called pyloromyotomy. Fluid and electrolyte replacement prior to surgery.
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","A rare malignant tumor of the salivary glands, characterized by slow growth but high recurrence potential.",Surgical resection of the tumor. Radiation therapy to minimize recurrence. Regular follow-ups for monitoring.
Pleomorphic adenoma,"Painless lump or swelling, Facial changes","A common benign salivary gland tumor, often occurring in the parotid gland and presenting as a painless mass.",Complete surgical excision. Regular monitoring for potential recurrence.
Warthin tumor,"Painless lump or swelling, Facial changes","A benign tumor of the salivary gland, typically occurring in the parotid gland and associated with smoking.",Surgical removal if symptomatic. Observation in asymptomatic cases.
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ",A malignant tumor of the salivary glands with a mixture of mucous and epidermoid cells.,Surgical excision with clear margins. Radiation therapy for advanced cases.
Acinic cell carcinoma,"Lump, swelling, Facial changes",A slow-growing malignant tumor of the salivary glands that may present as a painless mass.,Complete surgical excision. Radiation therapy in cases with incomplete resection or high-grade tumors.
Mucocele,Painless fluid-filled swelling in the oral cavity,"A benign lesion caused by mucus accumulation in the salivary glands, often due to trauma or blockage.",Surgical removal of the lesion. Avoidance of habits like lip biting to prevent recurrence.
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","A group of disorders affecting bone growth in children, often due to temporary disruption of blood supply.",Rest and avoidance of strenuous activities. Physical therapy to restore mobility. Pain management with anti-inflammatory medications.
